aah	A
altruistically	ALTRSTKL
alum	ALM
alumina	ALMN
aluminum	ALMNM
alumna	ALMN
alumnae	ALMN
alumni	ALMN
alumnus	ALMNS
alveolar	ALFLR
always	ALWS
amalgam	AMLKM
amalgamate	AMLKMT
amalgamated	AMLKMTT
amalgamating	AMLKMTNK
amalgamation	AMLKMXN
amanuenses	AMNNSS
amanuensis	AMNNSS
amaranth	AMRN0
amaretto	AMRT
amaryllis	AMRLS
amass	AMS
amassed	AMST
amassing	AMSNK
amateur	AMTR
amateurish	AMTRX
amateurishly	AMTRXL
amateurishness	AMTRXNS
amateurism	AMTRSM
amatory	AMTR
amaze	AMS
amazed	AMST
amazement	AMSMNT
amazing	AMSNK
amazingly	AMSNKL
amazon	AMSN
amazonian	AMSNN
ambassador	AMSTR
ambassadorial	AMSTRL
ambassadorship	AMSTRXP
ambassadress	AMSTRS
amber	AMR
ambergris	AMRKRS
ambiance	AMNS
ambidexterity	AMTKSTRT
ambidextrous	AMTKSTRS
ambidextrously	AMTKSTRSL
ambient	AMNT
ambiguity	AMKT
ambiguous	AMKS
ambiguously	AMKSL
ambit	AMT
ambition	AMXN
ambitious	AMXS
ambitiously	AMXSL
ambitiousness	AMXSNS
ambivalence	AMFLNS
ambivalent	AMFLNT
ambivalently	AMFLNTL
amble	AML
ambled	AMLT
ambler	AMLR
ambling	AMLNK
ambrosia	AMRX
ambrosial	AMRXL
ambulance	AMLNS
ambulanceman	AMLNSMN
ambulancemen	AMLNSMN
ambulancewoman	AMLNSWMN
ambulancewomen	AMLNSWMN
ambulant	AMLNT
ambulate	AMLT
ambulated	AMLTT
ambulating	AMLTNK
ambulation	AMLXN
ambulatory	AMLTR
ambuscade	AMSKT
ambuscaded	AMSKTT
ambuscading	AMSKTNK
ambush	AMX
ambushed	AMXT
ambushing	AMXNK
ameliorate	AMLRT
ameliorated	AMLRTT
ameliorating	AMLRTNK
amelioration	AMLRXN
ameliorative	AMLRTF
amen	AMN
amenability	AMNBLT
amenable	AMNBL
amenably	AMNBL
amend	AMNT
amendable	AMNTBL
amended	AMNTT
amending	AMNTNK
amendment	AMNTMNT
amenity	AMNT
amerce	AMRS
amerced	AMRST
amercement	AMRSMNT
amercing	AMRSNK
americium	AMRSM
amethyst	AM0ST
amiability	AMBLT
amiable	AMBL
amiably	AMBL
amicability	AMKBLT
amicable	AMKBL
amicably	AMKBL
amid	AMT
amide	AMT
amidships	AMTXPS
amigo	AMK
amino	AMN
amiss	AMS
amity	AMT
ammeter	AMTR
ammo	AM
ammonia	AMN
ammonium	AMNM
ammunition	AMNXN
amnesia	AMNX
amnesiac	AMNXK
amnesic	AMNSK
amnestied	AMNSTT
amnesty	AMNST
amnestying	AMNSTYNK
amniocenteses	AMNSNTSS
amniocentesis	AMNSNTSS
amnion	AMNN
amniotic	AMNTK
amoeba	AMB
amoebae	AMB
amoebic	AMBK
amok	AMK
among	AMNK
amontillado	AMNTLT
amoral	AMRL
amorality	AMRLT
amorally	AMRL
amorous	AMRS
amorously	AMRSL
amorousness	AMRSNS
amorphous	AMRFS
amorphously	AMRFSL
amorphousness	AMRFSNS
amortizable	AMRTSBL
amortization	AMRTSXN
amortize	AMRTS
amortized	AMRTST
amortizing	AMRTSNK
amount	AMNT
amounted	AMNTT
amounting	AMNTNK
amour	AMR
amoxicillin	AMKSSLN
amp	AMP
amperage	AMPRJ
ampere	AMPR
ampersand	AMPRSNT
amphetamine	AMFTMN
amphibian	AMFBN
amphibious	AMFBS
amphibiously	AMFBSL
amphitheater	AMF0TR
amphora	AMFR
amphorae	AMFR
ampicillin	AMPSLN
ample	AMPL
ampler	AMPLR
amplest	AMPLST
amplification	AMPLFKXN
amplified	AMPLFT
amplifier	AMPLFR
amplify	AMPLF
amplifying	AMPLFYNK
amplitude	AMPLTT
amply	AMPL
ampule	AMPL
amputate	AMPTT
amputated	AMPTTT
amputating	AMPTTNK
amputation	AMPTXN
amputee	AMPT
amulet	AMLT
amuse	AMS
amused	AMST
amusement	AMSMNT
amusing	AMSNK
amusingly	AMSNKL
amylase	AMLS
anabolism	ANBLSM
anachronism	ANXRNSM
anachronistic	ANXRNSTK
anachronistically	ANXRNSTKL
anaconda	ANKNT
anaerobe	ANRB
anaerobic	ANRBK
anaerobically	ANRBKL
anagram	ANKRM
anal	ANL
analgesia	ANLJX
analgesic	ANLJSK
anally	ANL
analog	ANLK
analogical	ANLJKL
analogically	ANLJKL
analogize	ANLJS
analogized	ANLJST
analogizing	ANLJSNK
analogous	ANLKS
analogously	ANLKSL
analogousness	ANLKSNS
analogue	ANLK
analogy	ANLJ
analysand	ANLSNT
analyses	ANLSS
analysis	ANLSS
analyst	ANLST
analytic	ANLTK
analytical	ANLTKL
analytically	ANLTKL
analyzable	ANLSBL
analyze	ANLS
analyzed	ANLST
analyzer	ANLSR
analyzing	ANLSNK
anapest	ANPST
anapestic	ANPSTK
anarchic	ANRXK
anarchically	ANRXKL
anarchism	ANRXSM
anarchist	ANRXST
anarchistic	ANRXSTK
anarchy	ANRX
anathema	AN0M
anathematize	AN0MTS
anathematized	AN0MTST
anathematizing	AN0MTSNK
anatomic	ANTMK
anatomical	ANTMKL
anatomically	ANTMKL
anatomist	ANTMST
anatomize	ANTMS
anatomized	ANTMST
anatomizing	ANTMSNK
anatomy	ANTM
ancestor	ANSSTR
ancestral	ANSSTRL
ancestrally	ANSSTRL
ancestress	ANSSTRS
ancestry	ANSSTR
anchor	ANXR
anchorage	ANXRJ
anchored	ANXRT
anchoring	ANXRNK
anchorite	ANXRT
anchorman	ANXRMN
anchormen	ANXRMN
anchorpeople	ANXRPPL
anchorperson	ANXRPRSN
anchorwoman	ANXRWMN
anchorwomen	ANXRWMN
anchovy	ANXF
ancient	ANSNT
ancienter	ANSNTR
ancientest	ANSNTST
anciently	ANSNTL
ancientness	ANSNTNS
ancillary	ANSLR
and	ANT
andante	ANTNT
andiron	ANTRN
androgen	ANTRJN
androgenic	ANTRJNK
androgynous	ANTRJNS
androgyny	ANTRJN
android	ANTRT
anecdotal	ANKTTL
anecdote	ANKTT
anemia	ANM
anemic	ANMK
anemically	ANMKL
anemometer	ANMMTR
anemone	ANMN
anent	ANNT
anesthesia	ANS0X
anesthesiologist	ANS0XLJST
anesthesiology	ANS0XLJ
anesthetic	ANS0TK
anesthetist	ANS0TST
anesthetization	ANS0TSXN
anesthetize	ANS0TS
anesthetized	ANS0TST
anesthetizing	ANS0TSNK
aneurysm	ANRSM
anew	AN
angel	ANJL
angelfish	ANJLFX
angelic	ANJLK
angelica	ANJLK
angelical	ANJLKL
angelically	ANJLKL
anger	ANJR
angered	ANJRT
angering	ANJRNK
angina	ANJN
angioplasty	ANJPLST
angiosperm	ANJSPRM
angle	ANKL
angled	ANKLT
angler	ANKLR
angleworm	ANKLWRM
anglicism	ANKLSSM
anglicize	ANKLSS
anglicized	ANKLSST
anglicizing	ANKLSSNK
angling	ANKLNK
anglophile	ANKLFL
anglophone	ANKLFN
angora	ANKR
angostura	ANKSTR
angrier	ANKRR
angriest	ANKRST
angrily	ANKRL
angry	ANKR
angst	ANKST
angstrom	ANKSTRM
anguish	ANKX
anguished	ANKXT
anguishing	ANKXNK
angular	ANKLR
angularity	ANKLRT
angulation	ANKLXN
anhydrous	ANTRS
aniline	ANLN
animadversion	ANMTFRXN
animadvert	ANMTFRT
animadverted	ANMTFRTT
animadverting	ANMTFRTNK
animal	ANML
animalcule	ANMLKL
animate	ANMT
animated	ANMTT
animatedly	ANMTTL
animating	ANMTNK
animation	ANMXN
animator	ANMTR
anime	ANM
animism	ANMSM
animist	ANMST
animistic	ANMSTK
animosity	ANMST
animus	ANMS
anion	ANN
anionic	ANNK
anise	ANS
aniseed	ANST
anisette	ANST
ankh	ANK
ankle	ANKL
anklebone	ANKLBN
anklet	ANKLT
annalist	ANLST
annals	ANLS
anneal	ANL
annealed	ANLT
annealing	ANLNK
annelid	ANLT
annex	ANKS
annexation	ANKSXN
annexed	ANKST
annexes	ANKSS
annexing	ANKSNK
annihilate	ANHLT
annihilated	ANHLTT
annihilating	ANHLTNK
annihilation	ANHLXN
annihilator	ANHLTR
anniversary	ANFRSR
annotate	ANTT
annotated	ANTTT
annotating	ANTTNK
annotation	ANTXN
annotative	ANTTF
annotator	ANTTR
announce	ANNS
announced	ANNST
announcement	ANNSMNT
announcer	ANNSR
announcing	ANNSNK
annoy	AN
annoyance	ANYNS
annoyed	ANYT
annoying	ANYNK
annoyingly	ANYNKL
annual	ANL
annualized	ANLST
annually	ANL
annuitant	ANTNT
annuity	ANT
annul	ANL
annular	ANLR
annulled	ANLT
annulling	ANLNK
annulment	ANLMNT
annunciation	ANNXXN
anode	ANT
anodize	ANTS
anodized	ANTST
anodizing	ANTSNK
anodyne	ANTN
anoint	ANNT
anointed	ANNTT
anointing	ANNTNK
anointment	ANNTMNT
anomalous	ANMLS
anomalously	ANMLSL
anomaly	ANML
anon	ANN
anonymity	ANNMT
anonymous	ANNMS
anonymously	ANNMSL
anopheles	ANFLS
anorak	ANRK
anorectic	ANRKTK
anorexia	ANRKS
anorexic	ANRKSK
another	AN0R
answer	ANSWR
answerable	ANSWRBL
answered	ANSWRT
answering	ANSWRNK
answerphone	ANSWRFN
ant	ANT
antacid	ANTST
antagonism	ANTKNSM
antagonist	ANTKNST
antagonistic	ANTKNSTK
antagonistically	ANTKNSTKL
antagonize	ANTKNS
antagonized	ANTKNST
antagonizing	ANTKNSNK
antarctic	ANTRKTK
ante	ANT
anteater	ANTTR
antebellum	ANTBLM
antecedence	ANTSTNS
antecedent	ANTSTNT
antechamber	ANTXMR
anted	ANTT
antedate	ANTTT
antedated	ANTTTT
antedating	ANTTTNK
antediluvian	ANTTLFN
anteing	ANTNK
antelope	ANTLP
antenatal	ANTNTL
antenna	ANTN
antennae	ANTN
anterior	ANTRR
anteroom	ANTRM
anthem	AN0M
anther	AN0R
anthill	AN0L
anthologist	AN0LJST
anthologize	AN0LJS
anthologized	AN0LJST
anthologizing	AN0LJSNK
anthology	AN0LJ
anthracite	AN0RST
anthrax	AN0RKS
anthropocentric	AN0RPSNTRK
anthropoid	AN0RPT
anthropological	AN0RPLJKL
anthropologically	AN0RPLJKL
anthropologist	AN0RPLJST
anthropology	AN0RPLJ
anthropomorphic	AN0RPMRFK
anthropomorphically	AN0RPMRFKL
anthropomorphism	AN0RPMRFSM
anthropomorphous	AN0RPMRFS
anti	ANT
antiabortion	ANXBRXN
antiabortionist	ANXBRXNST
antiaircraft	ANXRKRFT
antibacterial	ANTBKTRL
antibiotic	ANTBTK
antibody	ANTBT
antic	ANTK
anticancer	ANTKNSR
anticipate	ANTSPT
anticipated	ANTSPTT
anticipating	ANTSPTNK
anticipation	ANTSPXN
anticipatory	ANTSPTR
anticked	ANTKT
anticking	ANTKNK
anticlerical	ANTKLRKL
anticlimactic	ANTKLMKTK
anticlimactically	ANTKLMKTKL
anticlimax	ANTKLMKS
anticlimaxes	ANTKLMKSS
anticline	ANTKLN
anticlockwise	ANTKLKWS
anticoagulant	ANTKKLNT
anticommunism	ANTKMNSM
anticommunist	ANTKMNST
anticyclone	ANTSKLN
anticyclonic	ANTSKLNK
antidemocratic	ANTTMKRTK
antidepressant	ANTTPRSNT
antidote	ANTTT
antifascist	ANTFSST
antifreeze	ANTFRS
antigen	ANTJN
antigenic	ANTJNK
antigenicity	ANTJNST
antihero	ANTHR
antiheroes	ANTHRS
antihistamine	ANTHSTMN
antiknock	ANTKNK
antilabor	ANTLBR
antilogarithm	ANTLKR0M
antimacassar	ANTMKSR
antimalarial	ANTMLRL
antimatter	ANTMTR
antimicrobial	ANTMKRBL
antimissile	ANTMSL
antimony	ANTMN
antinuclear	ANTNKLR
antioxidant	ANXKSTNT
antiparticle	ANTPRTKL
antipasti	ANTPST
antipasto	ANTPST
antipathetic	ANTP0TK
antipathy	ANTP0
antipersonnel	ANTPRSNL
antiperspirant	ANTPRSPRNT
antiphon	ANTFN
antiphonal	ANTFNL
antiphonally	ANTFNL
antipodal	ANTPTL
antipodean	ANTPTN
antipodes	ANTPTS
antipollution	ANTPLXN
antipoverty	ANTPFRT
antiquarian	ANTKRN
antiquarianism	ANTKRNSM
antiquary	ANTKR
antiquate	ANTKT
antiquated	ANTKTT
antiquating	ANTKTNK
antique	ANTK
antiqued	ANTKT
antiquing	ANTKNK
antiquity	ANTKT
antirrhinum	ANTRHNM
antisemitic	ANTSMTK
antisemitism	ANTSMTSM
antisepsis	ANTSPSS
antiseptic	ANTSPTK
antiseptically	ANTSPTKL
antiserum	ANTSRM
antislavery	ANTSLFR
antisocial	ANTSXL
antisocially	ANTSXL
antispasmodic	ANTSPSMTK
antisubmarine	ANTSBMRN
antitank	ANTTNK
antitheses	ANT0SS
antithesis	ANT0SS
antithetic	ANT0TK
antithetical	ANT0TKL
antithetically	ANT0TKL
antitoxin	ANTTKSN
antitrust	ANTTRST
antivenin	ANTFNN
antiviral	ANTFRL
antivirus	ANTFRS
antivivisectionist	ANTFFSKXNST
antiwar	ANTWR
antler	ANTLR
antlered	ANTLRT
antonym	ANTNM
antonymous	ANTNMS
antsier	ANTSR
antsiest	ANTSST
antsy	ANTS
anus	ANS
anvil	ANFL
anxiety	ANKST
anxious	ANKSS
anxiously	ANKSSL
anxiousness	ANKSSNS
any	AN
anybody	ANBT
anyhow	ANH
anymore	ANMR
anyone	ANYN
anyplace	ANPLS
anything	AN0NK
anytime	ANTM
anyway	ANW
anywhere	ANHR
anywise	ANWS
aorta	ART
aortic	ARTK
apace	APS
apart	APRT
apartheid	APR0T
apartment	APRTMNT
apathetic	AP0TK
apathetically	AP0TKL
apathy	AP0
apatite	APTT
ape	AP
aped	APT
apelike	APLK
aperitif	APRTF
aperture	APRTR
apex	APKS
apexes	APKSS
aphasia	AFX
aphasic	AFSK
aphelia	AFL
aphelion	AFLN
aphid	AFT
aphorism	AFRSM
aphoristic	AFRSTK
aphoristically	AFRSTKL
aphrodisiac	AFRTXK
apiarist	APRST
apiary	APR
apical	APKL
apically	APKL
apiece	APS
aping	APNK
apish	APX
apishly	APXL
aplenty	APLNT
aplomb	APLM
apocalypse	APKLPS
apocalyptic	APKLPTK
apocrypha	APKRF
apocryphal	APKRFL
apocryphally	APKRFL
apogee	APJ
apolitical	APLTKL
apolitically	APLTKL
apologetic	APLJTK
apologetically	APLJTKL
apologia	APLJ
apologist	APLJST
apologize	APLJS
apologized	APLJST
apologizing	APLJSNK
apology	APLJ
apoplectic	APPLKTK
apoplexy	APPLKS
apoptosis	APPTSS
apoptotic	APPTTK
apostasy	APSTS
apostate	APSTT
apostatize	APSTTS
apostatized	APSTTST
apostatizing	APSTTSNK
apostle	APSTL
apostleship	APSTLXP
apostolic	APSTLK
apostrophe	APSTRF
apothecary	AP0KR
apothegm	AP0KM
apotheoses	AP0SS
apotheosis	AP0SS
app	AP
appall	APL
appalled	APLT
appalling	APLNK
appallingly	APLNKL
appaloosa	APLS
apparatchik	APRXK
apparatus	APRTS
apparel	APRL
appareled	APRLT
appareling	APRLNK
apparent	APRNT
apparently	APRNTL
apparition	APRXN
appeal	APL
appealed	APLT
appealing	APLNK
appealingly	APLNKL
appear	APR
appearance	APRNS
appeared	APRT
appearing	APRNK
appease	APS
appeased	APST
appeasement	APSMNT
appeaser	APSR
appeasing	APSNK
appellant	APLNT
appellate	APLT
appellation	APLXN
append	APNT
appendage	APNTJ
appendectomy	APNTKTM
appended	APNTT
appendices	APNTSS
appendicitis	APNTSTS
appending	APNTNK
appendix	APNTKS
appendixes	APNTKSS
appertain	APRTN
appertained	APRTNT
appertaining	APRTNNK
appetite	APTT
appetizer	APTSR
appetizing	APTSNK
appetizingly	APTSNKL
applaud	APLT
applauded	APLTT
applauder	APLTR
applauding	APLTNK
applause	APLS
apple	APL
applejack	APLJK
applesauce	APLSS
applet	APLT
appliance	APLNS
applicability	APLKBLT
applicable	APLKBL
applicably	APLKBL
applicant	APLKNT
application	APLKXN
applicator	APLKTR
applied	APLT
applier	APLR
applique	APLK
appliqued	APLKT
appliqueing	APLKNK
apply	APL
applying	APLYNK
appoint	APNT
appointed	APNTT
appointee	APNT
appointing	APNTNK
appointive	APNTF
appointment	APNTMNT
apportion	APRXN
apportioned	APRXNT
apportioning	APRXNNK
apportionment	APRXNMNT
appose	APS
apposed	APST
apposing	APSNK
apposite	APST
appositely	APSTL
appositeness	APSTNS
apposition	APSXN
appositive	APSTF
appraisal	APRSL
appraise	APRS
appraised	APRST
appraiser	APRSR
appraising	APRSNK
appreciable	APRXBL
appreciably	APRXBL
appreciate	APRXT
appreciated	APRXTT
appreciating	APRXTNK
appreciation	APRXXN
appreciative	APRXTF
appreciatively	APRXTFL
appreciator	APRXTR
appreciatory	APRXTR
apprehend	APRHNT
apprehended	APRHNTT
apprehending	APRHNTNK
apprehension	APRHNXN
apprehensive	APRHNSF
apprehensively	APRHNSFL
apprehensiveness	APRHNSFNS
apprentice	APRNTS
apprenticed	APRNTST
apprenticeship	APRNTSXP
apprenticing	APRNTSNK
apprise	APRS
apprised	APRST
apprising	APRSNK
approach	APRX
approachable	APRXBL
approached	APRXT
approaching	APRXNK
approbation	APRBXN
appropriate	APRPRT
appropriated	APRPRTT
appropriately	APRPRTL
appropriateness	APRPRTNS
appropriating	APRPRTNK
appropriation	APRPRXN
appropriator	APRPRTR
approval	APRFL
approve	APRF
approved	APRFT
approving	APRFNK
approvingly	APRFNKL
approx	APRKS
approximate	APRKSMT
approximated	APRKSMTT
approximately	APRKSMTL
approximating	APRKSMTNK
approximation	APRKSMXN
appurtenance	APRTNNS
appurtenant	APRTNNT
apricot	APRKT
apron	APRN
apropos	APRPS
apse	APS
apt	APT
apter	APTR
aptest	APTST
aptitude	APTTT
aptly	APTL
aptness	APTNS
aqua	AK
aquaculture	AKKLTR
aqualung	AKLNK
aquamarine	AKMRN
aquanaut	AKNT
aquaplane	AKPLN
aquaplaned	AKPLNT
aquaplaning	AKPLNNK
aquarium	AKRM
aquatic	AKTK
aquatically	AKTKL
aquatint	AKTNT
aquavit	AKFT
aqueduct	AKTKT
aqueous	AKS
aquifer	AKFR
aquiline	AKLN
arabesque	ARBSK
arability	ARBLT
arable	ARBL
arachnid	ARXNT
arachnophobia	ARXNFB
arbiter	ARBTR
arbitrage	ARBTRJ
arbitraged	ARBTRJT
arbitrager	ARBTRJR
arbitrageur	ARBTRJR
arbitraging	ARBTRJNK
arbitrament	ARBTRMNT
arbitrarily	ARBTRRL
arbitrariness	ARBTRRNS
arbitrary	ARBTRR
arbitrate	ARBTRT
arbitrated	ARBTRTT
arbitrating	ARBTRTNK
arbitration	ARBTRXN
arbitrator	ARBTRTR
arbor	ARBR
arboreal	ARBRL
arboretum	ARBRTM
arborvitae	ARBRFT
arbutus	ARBTS
arc	ARK
arcade	ARKT
arcane	ARKN
arced	ARST
arch	ARX
archaeological	ARXLJKL
archaeologically	ARXLJKL
archaeologist	ARXLJST
archaeology	ARXLJ
archaic	ARXK
archaically	ARXKL
archaism	ARXSM
archaist	ARXST
archangel	ARXNJL
archbishop	ARXBXP
archbishopric	ARXBXPRK
archdeacon	ARXTKN
archdiocesan	ARXTSSN
archdiocese	ARXTSS
archduchess	ARXTXS
archduke	ARXTK
arched	ARXT
archenemy	ARXNM
archer	ARXR
archery	ARXR
archest	ARXST
archetypal	ARXTPL
archetype	ARXTP
archfiend	ARXFNT
archiepiscopal	ARXPSKPL
arching	ARXNK
archipelago	ARXPLK
architect	ARXTKT
architectonic	ARXTKTNK
architectural	ARXTKTRL
architecturally	ARXTKTRL
architecture	ARXTKTR
architrave	ARXTRF
archival	ARXFL
archive	ARXF
archived	ARXFT
archiving	ARXFNK
archivist	ARXFST
archly	ARXL
archness	ARXNS
archway	ARXW
arcing	ARSNK
arctic	ARKTK
ardent	ARTNT
ardently	ARTNTL
ardor	ARTR
arduous	ARTS
arduously	ARTSL
arduousness	ARTSNS
are	AR
area	AR
areal	ARL
arena	ARN
ares	ARS
argent	ARJNT
argon	ARKN
argosy	ARKS
argot	ARKT
arguable	ARKBL
arguably	ARKBL
argue	ARK
argued	ARKT
arguer	ARKR
arguing	ARKNK
argument	ARKMNT
argumentation	ARKMNTXN
argumentative	ARKMNTTF
argumentatively	ARKMNTTFL
argumentativeness	ARKMNTTFNS
argyle	ARJL
aria	AR
arid	ART
aridity	ARTT
aridly	ARTL
aright	ARFT
arise	ARS
arisen	ARSN
arising	ARSNK
aristocracy	ARSTKRS
aristocrat	ARSTKRT
aristocratic	ARSTKRTK
aristocratically	ARSTKRTKL
arithmetic	AR0MTK
arithmetical	AR0MTKL
arithmetically	AR0MTKL
arithmetician	AR0MTXN
ark	ARK
arm	ARM
armada	ARMT
armadillo	ARMTL
armament	ARMMNT
armature	ARMTR
armband	ARMNT
armchair	ARMXR
armed	ARMT
armful	ARMFL
armhole	ARMHL
arming	ARMNK
armistice	ARMSTS
armlet	ARMLT
armload	ARMLT
armor	ARMR
armored	ARMRT
armorer	ARMRR
armorial	ARMRL
armoring	ARMRNK
armory	ARMR
armpit	ARMPT
armrest	ARMRST
army	ARM
aroma	ARM
aromatherapist	ARM0RPST
aromatherapy	ARM0RP
aromatic	ARMTK
aromatically	ARMTKL
arose	ARS
around	ARNT
arousal	ARSL
arouse	ARS
aroused	ARST
arousing	ARSNK
arpeggio	ARPK
arraign	ARN
arraigned	ARNT
arraigning	ARKNNK
arraignment	ARKNMNT
arrange	ARNJ
arranged	ARNJT
arrangement	ARNJMNT
arranger	ARNJR
arranging	ARNJNK
arrant	ARNT
arras	ARS
array	AR
arrayed	ARYT
arraying	ARYNK
arrears	ARRS
arrest	ARST
arrested	ARSTT
arresting	ARSTNK
arrhythmia	AR0M
arrhythmic	AR0MK
arrhythmical	AR0MKL
arrival	ARFL
arrive	ARF
arrived	ARFT
arriving	ARFNK
arrogance	ARKNS
arrogant	ARKNT
arrogantly	ARKNTL
arrogate	ARKT
arrogated	ARKTT
arrogating	ARKTNK
arrogation	ARKXN
arrow	AR
arrowhead	ARHT
arrowroot	ARRT
arroyo	ARY
arsed	ARST
arsenal	ARSNL
arsenic	ARSNK
arsing	ARSNK
arson	ARSN
arsonist	ARSNST
art	ART
arterial	ARTRL
arteriole	ARTRL
arteriosclerosis	ARTRSKLRSS
artery	ARTR
artful	ARTFL
artfully	ARTFL
artfulness	ARTFLNS
arthritic	AR0RTK
arthritis	AR0RTS
arthropod	AR0RPT
arthroscope	AR0RSKP
arthroscopic	AR0RSKPK
artichoke	ARTXK
article	ARTKL
articled	ARTKLT
articulacy	ARTKLS
articular	ARTKLR
articulate	ARTKLT
articulated	ARTKLTT
articulately	ARTKLTL
articulateness	ARTKLTNS
articulating	ARTKLTNK
articulation	ARTKLXN
artier	ARTR
artiest	ARTST
artifact	ARTFKT
artifice	ARTFS
artificer	ARTFSR
artificial	ARTFXL
artificiality	ARTFXLT
artificially	ARTFXL
artillery	ARTLR
artilleryman	ARTLRMN
artillerymen	ARTLRMN
artiness	ARTNS
artisan	ARTSN
artist	ARTST
artiste	ARTST
artistic	ARTSTK
artistically	ARTSTKL
artistry	ARTSTR
artless	ARTLS
artlessly	ARTLSL
artlessness	ARTLSNS
artsier	ARTSR
artsiest	ARTSST
artsy	ARTS
artwork	ARTWRK
arty	ART
arugula	ARKL
arum	ARM
asap	ASP
asbestos	ASBSTS
ascend	ASNT
ascendance	ASNTNS
ascendancy	ASNTNS
ascendant	ASNTNT
ascended	ASNTT
ascending	ASNTNK
ascension	ASNXN
ascent	ASNT
ascertain	ASRTN
ascertainable	ASRTNBL
ascertained	ASRTNT
ascertaining	ASRTNNK
ascertainment	ASRTNMNT
ascetic	ASTK
ascetically	ASTKL
asceticism	ASTSSM
ascot	ASKT
ascribable	ASKRBBL
ascribe	ASKRB
ascribed	ASKRBT
ascribing	ASKRBNK
ascription	ASKRPXN
aseptic	ASPTK
aseptically	ASPTKL
asexual	ASKSL
asexuality	ASKSLT
asexually	ASKSL
ash	AX
ashamed	AXMT
ashamedly	AXMTL
ashcan	AXKN
ashed	AXT
ashen	AXN
ashier	AXR
ashiest	AXST
ashing	AXNK
ashlar	AXLR
ashore	AXR
ashram	AXRM
ashtray	AXTR
ashy	AX
aside	AST
asinine	ASNN
asininely	ASNNL
asininity	ASNNT
ask	ASK
askance	ASKNS
asked	ASKT
askew	ASK
asking	ASKNK
aslant	ASLNT
asleep	ASLP
asocial	ASXL
asp	ASP
asparagus	ASPRKS
aspartame	ASPRTM
aspect	ASPKT
aspen	ASPN
asperity	ASPRT
aspersion	ASPRXN
asphalt	ASFLT
asphalted	ASFLTT
asphalting	ASFLTNK
asphodel	ASFTL
asphyxia	ASFKS
asphyxiate	ASFKST
asphyxiated	ASFKSTT
asphyxiating	ASFKSTNK
asphyxiation	ASFKSXN
aspic	ASPK
aspidistra	ASPTSTR
aspirant	ASPRNT
aspirate	ASPRT
aspirated	ASPRTT
aspirating	ASPRTNK
aspiration	ASPRXN
aspirator	ASPRTR
aspire	ASPR
aspired	ASPRT
aspirin	ASPRN
aspiring	ASPRNK
ass	AS
assail	ASL
assailable	ASLBL
assailant	ASLNT
assailed	ASLT
assailing	ASLNK
assassin	ASSN
assassinate	ASSNT
assassinated	ASSNTT
assassinating	ASSNTNK
assassination	ASSNXN
assault	ASLT
assaulted	ASLTT
assaulter	ASLTR
assaulting	ASLTNK
assay	AS
assayed	ASYT
assayer	ASYR
assaying	ASYNK
assemblage	ASMLJ
assemble	ASML
assembled	ASMLT
assembler	ASMLR
assembling	ASMLNK
assembly	ASML
assemblyman	ASMLMN
assemblymen	ASMLMN
assemblywoman	ASMLWMN
assemblywomen	ASMLWMN
assent	ASNT
assented	ASNTT
assenting	ASNTNK
assert	ASRT
asserted	ASRTT
asserting	ASRTNK
assertion	ASRXN
assertive	ASRTF
assertively	ASRTFL
assertiveness	ASRTFNS
asses	ASS
assess	ASS
assessed	ASST
assesses	ASSS
assessing	ASSNK
assessment	ASSMNT
assessor	ASSR
asset	AST
asseverate	ASFRT
asseverated	ASFRTT
asseverating	ASFRTNK
asseveration	ASFRXN
assiduity	ASTT
assiduous	ASTS
assiduously	ASTSL
assiduousness	ASTSNS
assign	ASN
assignable	ASKNBL
assignation	ASKNXN
assigned	ASNT
assigner	ASKNR
assigning	ASKNNK
assignment	ASKNMNT
assignor	ASKNR
assimilate	ASMLT
assimilated	ASMLTT
assimilating	ASMLTNK
assimilation	ASMLXN
assist	ASST
assistance	ASSTNS
assistant	ASSTNT
assisted	ASSTT
assisting	ASSTNK
assize	ASS
assn	ASN
assoc	ASK
associate	ASXT
associated	ASXTT
associating	ASXTNK
association	ASXXN
associative	ASXTF
assonance	ASNNS
assonant	ASNNT
assort	ASRT
assorted	ASRTT
assorting	ASRTNK
assortment	ASRTMNT
asst	AST
assuage	ASJ
assuaged	ASJT
assuaging	ASJNK
assumable	ASMBL
assume	ASM
assumed	ASMT
assuming	ASMNK
assumption	ASMPXN
assumptive	ASMPTF
assurance	ASRNS
assure	ASR
assured	ASRT
assuredly	ASRTL
assuring	ASRNK
astatine	ASTTN
aster	ASTR
asterisk	ASTRSK
asterisked	ASTRSKT
asterisking	ASTRSKNK
astern	ASTRN
asteroid	ASTRT
asthma	AS0M
asthmatic	AS0MTK
asthmatically	AS0MTKL
astigmatic	ASTKMTK
astigmatism	ASTKMTSM
astir	ASTR
astonish	ASTNX
astonished	ASTNXT
astonishing	ASTNXNK
astonishingly	ASTNXNKL
astonishment	ASTNXMNT
astound	ASTNT
astounded	ASTNTT
astounding	ASTNTNK
astoundingly	ASTNTNKL
astraddle	ASTRTL
astrakhan	ASTRKHN
astral	ASTRL
astray	ASTR
astride	ASTRT
astringency	ASTRNJNS
astringent	ASTRNJNT
astringently	ASTRNJNTL
astrolabe	ASTRLB
